Product url,Description
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfYXRmX25leHQ6MjAxMTAxODE1MTA5OTg6OjA6Og&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"['CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Black, Water resistant: Yes; INDUSTRY BEST BACKPACK STORAGE: 45 x 31 x 13.5 cm Dimensions, 19L Capacity, Fits upto a 16” laptop', 'FLAT OPENING TECH COMPARTMENT: 5 pockets to store your iPad, adapters and other tech accessories, Padded laptop compartment with lock strap', 'MOST FEATURE RICH BACKPACK: USB Port:1, Power bank not included, Front compartment: slip pockets, pen pockets, zippered pockets, Expandable body, Hidden magnetic passport/phone pocket, Luggage sleeve, Hidden expandable water bottle/umbrella pocket', 'MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)', 'Lining Description: Polyester; Style Name: Casual; Strap Type: Shoulder Strap; Pattern Name: Solid; Color Name: Crypto; Age Range Description: Adult']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfYXRmX25leHQ6MjAxMTY4ODIxODEwOTg6OjA6Og&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"['Closure: Zipper', 'PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.', 'ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.', 'USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.', 'DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.', 'Outer Material Type: Synthetic']"
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685034848&sprefix=ba%2Caps%2C283&sr=8-24,"['MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.', 'DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.', 'COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.', 'Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket', 'Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfbXRmOjIwMTEwMDgyMjQxMjk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYMT7V1%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"['? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern', '? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.', '? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit', '? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports', 'Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfbXRmOjIwMTEwMTgxNTEwODk4OjowOjo&url=%2FMokobara-Backpack-litre-Brown-laptop%2Fdp%2FB095PC3QPV%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"['CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Tan, Water resistant: Yes.', 'PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop', 'MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve', 'HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)', 'Warranty Description: 12 Months Warranty; Age Range Description: Adult; Compartment Description: Up To 16 Inches; Closure Type: Zipper; Pattern Name: Solid; Lining Description: Polyester; Color Name: Nice And Dusty']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfYnRmOjIwMDkyNTI1OTc5Njk4OjowOjo&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTCNN75%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"['Care Instructions: Wipe with Damp Cloth', 'Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.', 'USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.', 'Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.', 'Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects', 'Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjIxMDI2NzY4MDExNjE2OjE2ODUwMzQ4NDg6c3BfYnRmOjIwMTI0MzExMDI0ODk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034848%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"['Care Instructions: Wipe with Damp Cloth', 'Handcrafted with care and made up of premium quality robust material', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage', 'Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)', 'Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9hdGZfbmV4dDoyMDExMDE4MTUxMTE5ODo6MDo6&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"['CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes', 'PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop', 'MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve.', 'HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)', 'Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9tdGY6MjAxMTY4ODIxODEwOTg6OjA6Og&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"['Closure: Zipper', 'PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.', 'ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.', 'USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.', 'DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.', 'Outer Material Type: Synthetic']"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9tdGY6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"['Care Instructions: Wipe with Damp Cloth', 'Handcrafted with care and made up of premium quality robust material', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage', 'Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)', 'Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides']"
